hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input_grd,te_output_grd,te_directional_grd
101100,0.25,0.21,0.33,0.2,0.22,0.06,0.73,0.431,1.235,0.188
102100,0.36,0.3,0.36,0.19,0.27,0.04,0.76,0.349,1.658,0.282
103100,0.38,0.3,0.39,0.21,0.31,0,0.83,0.404,1.703,0.286
103101,0.13,0.06,0.17,0.09,0.06,0,0.62,0.375,1.024,0.153
104100,0.22,0.21,0.25,0.12,0.17,0,0.74,0.352,1.555,0.263
105100,0.22,0.27,0.33,0.26,0.3,0,0.83,0.616,1.118,0.123
105101,0.25,0.27,0.32,0.16,0.36,0,0.91,0.617,1.341,0.175
105102,0.14,0.11,0.21,0.13,0.18,0,0.65,0.492,0.859,0.09
106100,0.43,0.41,0.57,0.25,0.33,0,0.92,0.471,1.799,0.297
106102,0.09,0.08,0.12,0.35,0.07,0,0.98,0.98,0.98,0
106103,0.1,0.09,0.2,0.11,0.1,0,0.64,0.493,0.831,0.083
107100,0.43,0.6,0.46,0.42,0.31,0,1.1,0.515,2.353,0.399
107101,0.14,0.15,0.24,0.27,0.2,0,0.72,0.664,0.78,0.029
107102,0.12,0.09,0.16,0.1,0.14,0,0.65,0.446,0.948,0.121
108100,0.14,0.1,0.26,0.12,0.24,0,0.77,0.742,0.8,0.015
108101,0.11,0.08,0.21,0.11,0.2,0,0.7,0.7,0.7,0
109100,0.47,0.6,0.62,0.79,0.89,0,0.75,0.705,0.798,0.023
109101,0.25,0.18,0.18,0.11,0.17,0,1.03,0.399,2.659,0.455
109102,0.1,0.08,0.05,0,0,0,NA,NA,NA,NA
109103,0.07,0.13,0.05,0.06,0.04,0,NA,NA,NA,NA
110100,0.46,0.71,0.51,0.74,0.44,0,0.97,0.6,1.567,0.228
110110,0.05,0.11,0.08,0.05,0.16,0,NA,NA,NA,NA
110120,0.3,0.31,0.33,0.2,0.29,0,0.75,0.398,1.415,0.23
110150,0.09,0.08,0.16,0.09,0.12,0,0.59,0.478,0.728,0.062
111100,0.52,0.73,0.52,0.56,0.34,0.12,0.86,0.412,1.796,0.303
111101,0.24,0.31,0.15,0.05,0.1,0,0.74,0.17,3.22,0.463
111195,0.4,0.3,0.18,0.17,0.18,0.08,1.16,0.322,4.171,0.655
112100,0.35,0.81,0.37,0.45,0.33,0,1.14,0.633,2.053,0.326
112101,0.18,0.2,0.39,0.02,0.18,0,0.71,0.479,1.054,0.138
112102,0.21,0.39,0.2,0.19,0.2,0,1.21,0.577,2.537,0.428
112103,0.1,0.24,0.09,0.09,0.04,0,1.71,0.631,4.632,0.788
112104,0.1,0.15,0.08,0.04,0.06,0,1.76,0.554,5.584,0.917
112105,0.01,0.01,0.06,0,0,0,NA,NA,NA,NA
112106,0.02,0.01,0.02,0,0,0,NA,NA,NA,NA
113100,0.61,0.67,0.59,0.68,0.49,0.13,0.92,0.483,1.754,0.287
113130,0.16,0.13,0.16,0.07,0.16,0,1.03,0.543,1.953,0.318
113180,0.22,0.18,0.35,0.23,0.23,0,0.69,0.495,0.961,0.113
114101,0.74,0.74,1,0.6,0.7,0.18,0.9,0.535,1.512,0.229
114103,0.32,0.32,0.43,0.39,0.24,0.02,0.7,0.417,1.175,0.177
114105,0.25,0.3,0.11,0.14,0.09,0.05,NA,NA,NA,NA
115100,0.39,0.46,0.39,0.32,0.36,0.06,0.95,0.485,1.86,0.308
115107,0.11,0.1,0.2,0.08,0.15,0,0.69,0.54,0.882,0.084
116100,0.2,0.17,0.31,0.39,0.28,0.42,0.76,0.76,0.76,0
116105,0.4,0.42,0.42,0.5,0.32,0,0.93,0.518,1.668,0.264
116108,0.17,0.12,0.32,0.18,0.27,0.08,0.71,0.677,0.745,0.017
117101,0.37,0.34,0.46,0.32,0.39,0,0.78,0.484,1.259,0.183
117102,0.09,0.05,0.14,0.08,0.13,0,0.66,0.602,0.723,0.03
118100,0.73,0.75,0.75,0.73,0.53,0.12,0.93,0.47,1.841,0.306
118105,0.09,0.04,0.16,0.11,0.12,0.27,0.56,0.56,0.56,0
118106,0.07,0.03,0.1,0.08,0.05,0.21,NA,NA,NA,NA
119100,0.38,0.48,0.49,0.36,0.37,0,0.86,0.494,1.497,0.232
119101,0.06,0.02,0.08,0.08,0.08,0.1,NA,NA,NA,NA
120101,0.42,0.47,0.56,0.44,0.36,0,0.74,0.431,1.271,0.195
121109,0.58,0.7,0.77,0.68,0.43,0.09,0.9,0.505,1.604,0.253
122100,0.38,0.39,0.45,0.4,0.4,0.03,0.84,0.523,1.348,0.195
123100,0.34,0.29,0.36,0.28,0.34,0,0.79,0.455,1.371,0.213
124105,0.41,0.43,0.44,0.28,0.28,0,0.83,0.375,1.838,0.314
125100,0.25,0.18,0.19,0.2,0.11,0,0.82,0.317,2.122,0.363
126100,0.29,0.23,0.26,0.14,0.17,0,0.79,0.308,2.024,0.347
129100,0.11,0.06,0.17,0.07,0.11,0,0.62,0.458,0.839,0.093
129106,0.12,0.07,0.16,0.08,0.11,0,0.67,0.429,1.047,0.147
133150,0.15,0.07,0.15,0.08,0.12,0.07,0.75,0.43,1.306,0.203
