hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input_grd,te_output_grd,te_directional_grd
101100,0.28,0.27,0.35,0.25,0.28,0.05,0.79,0.04,15.484,0.713
102100,0.42,0.31,0.38,0.22,0.43,0.01,0.78,0.039,15.618,0.706
103100,0.44,0.46,0.39,0.28,0.36,0,0.86,0.034,21.548,0.794
103101,0.14,0.13,0.17,0.11,0.07,0,0.66,0.029,14.947,0.604
104100,0.25,0.24,0.24,0.15,0.18,0,0.75,0.026,21.354,0.699
105100,0.27,0.32,0.29,0.24,0.35,0,0.91,0.057,14.391,0.802
105101,0.28,0.3,0.29,0.19,0.32,0,0.98,0.055,17.578,0.876
105102,0.16,0.14,0.19,0.17,0.21,0,0.7,0.045,10.933,0.616
106100,0.48,0.47,0.53,0.3,0.32,0,1,0.04,24.906,0.923
106102,0.1,0.07,0.12,0.14,0.08,0,1.02,0.054,19.308,0.918
106103,0.11,0.1,0.17,0.15,0.1,0,0.68,0.038,12.1,0.608
107100,0.5,0.66,0.41,0.41,0.34,0,1.19,0.039,35.875,1.114
107101,0.17,0.18,0.22,0.23,0.2,0,0.74,0.042,12.895,0.659
107102,0.15,0.1,0.15,0.08,0.14,0.04,0.74,0.056,9.713,0.635
108100,0.15,0.12,0.24,0.13,0.22,0,0.79,0.057,11.042,0.684
108101,0.12,0.1,0.2,0.11,0.23,0,0.76,0.071,8.129,0.63
109100,0.54,0.51,0.56,0.91,0.84,0,0.81,0.062,10.675,0.696
109101,0.27,0.18,0.19,0.12,0.17,0,1.05,0.033,34.187,0.987
109102,0.12,0.08,0.05,0.01,0,0,NA,NA,NA,NA
109103,0.12,0.13,0.06,0.07,0.06,0,NA,NA,NA,NA
110100,0.54,0.67,0.5,0.84,0.43,0,1.01,0.06,17.206,0.898
110110,0.06,0.12,0.07,0.05,0.16,0,1.19,0.155,9.148,0.916
110120,0.37,0.44,0.36,0.29,0.38,0,0.82,0.041,16.368,0.742
110150,0.13,0.08,0.15,0.13,0.15,0.01,0.64,0.036,11.371,0.572
111100,0.58,0.8,0.54,0.61,0.37,0.11,0.9,0.049,16.61,0.807
111101,0.47,0.45,0.38,0.43,0.21,0.08,0.9,0.044,18.506,0.816
111195,0.46,0.41,0.18,0.2,0.17,0.06,1.24,0.046,33.273,1.151
112100,0.37,0.77,0.21,0.4,0.37,0,1.2,0.059,24.6,1.088
112101,0.21,0.17,0.34,0.02,0.19,0,0.73,0.043,12.399,0.649
112102,0.24,0.34,0.18,0.21,0.19,0,1.38,0.054,35.735,1.278
112103,0.11,0.26,0.11,0.11,0.04,0,1.67,0.063,44.255,1.548
112104,0.11,0.14,0.08,0.06,0.08,0,1.68,0.059,47.356,1.564
112105,0.01,0.01,0.08,0,0,0,NA,NA,NA,NA
112106,0.02,0,0.02,0,0,0,NA,NA,NA,NA
113100,0.66,0.67,0.63,0.86,0.55,0.09,0.93,0.046,18.913,0.843
113130,0.18,0.14,0.15,0.08,0.13,0,1.12,0.039,31.791,1.044
113180,0.25,0.18,0.31,0.27,0.21,0,0.78,0.035,17.298,0.713
114101,0.91,0.83,0.9,0.67,0.73,0.17,0.96,0.051,17.986,0.863
114103,0.39,0.32,0.41,0.47,0.25,0.02,0.78,0.035,17.151,0.712
114105,0.42,0.53,0.34,0.18,0.26,0.05,0.86,0.029,25.284,0.803
115100,0.49,0.58,0.4,0.41,0.4,0.1,1.01,0.059,17.322,0.899
115107,0.12,0.13,0.2,0.11,0.16,0,0.78,0.051,11.992,0.685
116100,0.23,0.26,0.3,0.47,0.31,0.01,0.8,0.062,10.374,0.686
116105,0.55,0.51,0.5,0.61,0.42,0,1,0.042,23.893,0.92
116108,0.19,0.14,0.3,0.21,0.24,0,0.78,0.048,12.659,0.69
117101,0.43,0.38,0.42,0.35,0.38,0.02,0.86,0.037,19.949,0.789
117102,0.11,0.09,0.14,0.08,0.13,0.13,0.69,0.233,2.044,0.342
118100,0.84,0.9,0.68,0.66,0.59,0.71,1.09,0.263,4.514,0.666
118105,0.1,0.04,0.15,0.14,0.11,0.27,0.6,0.578,0.622,0.011
118106,0.08,0.04,0.1,0.11,0.06,0.24,NA,NA,NA,NA
119100,0.43,0.48,0.44,0.45,0.38,0,0.92,0.04,21.341,0.844
119101,0.07,0.04,0.08,0.1,0.07,0.13,NA,NA,NA,NA
120101,0.02,0.01,0.55,0.53,0.41,0.07,0.84,0.84,0.84,0
121109,0.64,0.88,0.68,0.68,0.49,0.09,1.01,0.04,25.138,0.932
122100,0.4,0.53,0.43,0.44,0.36,0.04,0.9,0.04,20.5,0.824
123100,0.37,0.32,0.34,0.35,0.34,0,0.85,0.038,18.963,0.777
124105,0.57,0.6,0.49,0.38,0.39,0,0.91,0.03,27.265,0.851
125100,0.29,0.2,0.19,0.17,0.11,0,0.79,0.019,33.159,0.753
126100,0.34,0.33,0.26,0.17,0.2,0,0.96,0.028,33.456,0.906
129100,0.12,0.07,0.16,0.09,0.09,0.11,0.64,0.168,2.444,0.374
129106,0.13,0.09,0.16,0.1,0.1,0.03,0.72,0.048,10.92,0.631
133150,0.18,0.1,0.15,0.11,0.13,0.05,0.84,0.066,10.584,0.717
