hospital_id,hospital_name,te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_directional_crs,te_directional_vrs,te_directional_nirs,te_input_region_crs,te_input_region_vrs,te_input_region_nirs,te_output_region_crs,te_output_region_vrs,te_output_region_nirs,te_directional_region_crs,te_directional_region_vrs,te_directional_region_nirs,te_input_grd_crs,te_input_grd_vrs,te_input_grd_nirs,te_output_grd_crs,te_output_grd_vrs,te_output_grd_nirs,te_directional_grd_crs,te_directional_grd_vrs,te_directional_grd_nirs
101100,Hospital Doctor Juan Noé,0.733,0.801,0.801,1.364,1.17,1.17,0.154,0.092,0.092,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.752,0.776,0.776,1.33,1.235,1.235,0.142,0.116,0.116
102100,Hospital de Iquique,0.568,0.695,0.695,1.76,1.229,1.229,0.275,0.131,0.131,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.577,0.663,0.663,1.732,1.301,1.301,0.268,0.159,0.159
103100,Hospital de Antofagasta,0.616,0.714,0.714,1.624,1.285,1.285,0.238,0.143,0.143,0.868,0.96,0.868,1.152,1.077,1.152,0.071,0.026,0.071,0.668,0.748,0.748,1.497,1.285,1.285,0.199,0.134,0.134
103101,Hospital de Calama,0.62,0.702,0.62,1.612,1.601,1.612,0.234,0.204,0.234,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.533,0.683,0.533,1.878,1.842,1.878,0.305,0.242,0.305
104100,Hospital de Copiapó,0.511,0.531,0.511,1.957,1.761,1.761,0.324,0.321,0.324,0.962,1.0,1.0,1.039,1.0,1.0,0.019,0.0,0.0,0.512,0.542,0.512,1.954,1.834,1.834,0.323,0.318,0.323
105100,Hospital de La Serena,0.78,0.791,0.791,1.282,1.25,1.25,0.124,0.114,0.114,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.85,0.861,0.861,1.176,1.144,1.144,0.081,0.071,0.071
105101,Hospital de Coquimbo,0.632,0.681,0.681,1.582,1.399,1.399,0.225,0.177,0.177,0.73,1.0,1.0,1.369,1.0,1.0,0.156,0.0,0.0,0.759,0.802,0.802,1.317,1.202,1.202,0.137,0.101,0.101
105102,Hospital de Ovalle,0.835,0.836,0.836,1.197,1.194,1.194,0.09,0.089,0.089,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.807,0.814,0.807,1.239,1.233,1.239,0.107,0.103,0.107
106100,Hospital Carlos Van Buren,0.683,0.885,0.885,1.464,1.097,1.097,0.188,0.053,0.053,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.908,1.0,1.0,1.102,1.0,1.0,0.048,0.0,0.0
106102,Hospital Dr. Eduardo Pereira Ramírez,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.642,1.0,1.0,1.557,1.0,1.0,0.218,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
