hospital_id,hospital_name,te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_directional_crs,te_directional_vrs,te_directional_nirs,te_input_region_crs,te_input_region_vrs,te_input_region_nirs,te_output_region_crs,te_output_region_vrs,te_output_region_nirs,te_directional_region_crs,te_directional_region_vrs,te_directional_region_nirs,te_input_grd_crs,te_input_grd_vrs,te_input_grd_nirs,te_output_grd_crs,te_output_grd_vrs,te_output_grd_nirs,te_directional_grd_crs,te_directional_grd_vrs,te_directional_grd_nirs
101100,Hospital Doctor Juan Noé,0.686,0.706,0.706,1.458,1.288,1.288,0.186,0.147,0.147,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.706,0.712,0.712,1.417,1.365,1.365,0.173,0.163,0.163
102100,Hospital de Iquique,0.502,0.523,0.523,1.992,1.524,1.524,0.332,0.264,0.264,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.534,0.542,0.542,1.873,1.583,1.583,0.304,0.278,0.278
103100,Hospital de Antofagasta,0.524,0.604,0.604,1.909,1.339,1.339,0.312,0.183,0.183,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.602,0.671,0.671,1.661,1.326,1.326,0.248,0.17,0.17
103101,Hospital de Calama,0.662,0.686,0.662,1.51,1.325,1.325,0.203,0.182,0.182,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.699,0.713,0.699,1.43,1.335,1.335,0.177,0.164,0.164
104100,Hospital de Copiapó,0.534,0.536,0.534,1.874,1.738,1.738,0.304,0.303,0.303,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.555,0.563,0.555,1.801,1.758,1.758,0.286,0.286,0.286
105100,Hospital de La Serena,0.816,0.83,0.83,1.226,1.166,1.166,0.102,0.084,0.084,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.904,0.928,0.928,1.106,1.069,1.069,0.05,0.035,0.035
105101,Hospital de Coquimbo,0.764,0.77,0.77,1.309,1.279,1.279,0.134,0.126,0.126,0.698,1.0,1.0,1.433,1.0,1.0,0.178,0.0,0.0,0.84,0.884,0.884,1.19,1.116,1.116,0.087,0.058,0.058
105102,Hospital de Ovalle,0.789,0.797,0.789,1.267,1.258,1.258,0.118,0.118,0.118,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.779,0.78,0.78,1.284,1.258,1.258,0.124,0.12,0.12
106100,Hospital Carlos Van Buren,0.671,0.819,0.819,1.489,1.161,1.161,0.197,0.085,0.085,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.856,0.927,0.927,1.168,1.072,1.072,0.078,0.036,0.036
106102,Hospital Dr. Eduardo Pereira Ramírez,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.611,1.0,1.0,1.636,1.0,1.0,0.241,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
