hospital_id,Datos Establecimiento-Numero de Egresos
101100,13845.0
102100,15713.0
103100,16654.0
103101,9146.0
104100,10434.0
105100,10610.0
105101,11531.0
105102,7028.0
106100,12749.0
106102,3628.0
106103,5403.0
107100,16476.0
107101,7828.0
107102,6106.0
108100,8460.0
108101,6807.0
109100,21955.0
109101,4966.0
110100,16896.0
110120,14910.0
110150,5921.0
111100,16936.0
111101,14797.0
111195,8789.0
112100,10078.0
112101,13910.0
112102,5308.0
112103,2848.0
112104,2446.0
113100,26714.0
113130,4865.0
113180,11828.0
114101,32035.0
114103,14097.0
115100,19075.0
115107,5981.0
116100,11726.0
116105,22417.0
116108,10025.0
117101,15819.0
117102,5834.0
118100,22485.0
118105,5124.0
119100,15817.0
120101,19704.0
121109,21485.0
122100,15258.0
123100,13559.0
124105,19900.0
125100,7014.0
126100,7945.0
129100,5736.0
129106,5154.0
133150,5828.0
