hospital_id,hospital_name,year,te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_input_crs_grd,te_input_vrs_grd,te_input_nirs_grd,te_output_crs_grd,te_output_vrs_grd,te_output_nirs_grd,te_input_crs_region,te_input_vrs_region,te_input_nirs_region,te_output_crs_region,te_output_vrs_region,te_output_nirs_region
101100,Hospital Doctor Juan Noé,2018,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.21,1.21,1.21,1.21,1.21,1.21
102100,Hospital de Iquique,2018,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
103100,Hospital de Antofagasta,2018,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,0.57,0.57,0.57,0.57,0.57,0.57
103101,Hospital de Calama,2018,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,13.47,13.47,13.47,13.47,13.47,13.47
104100,Hospital de Copiapó,2018,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,1.05,1.05,1.05,1.05,1.05,1.05
105100,Hospital de La Serena,2018,13.47,13.47,13.47,13.47,13.47,13.47,13.01,12.15,11.35,10.6,9.9,9.25,0.0,0.0,0.0,0.0,0.0,0.0
105101,Hospital de Coquimbo,2018,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.18,1.18,1.18,1.18,1.18,1.18
105102,Hospital de Ovalle,2018,1.13,1.13,1.13,1.13,1.13,1.13,1.05,1.08,1.11,1.14,1.18,1.21,1.05,1.05,1.05,1.05,1.05,1.05
106100,Hospital Carlos Van Buren,2018,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.18,1.18,1.18,1.18,1.18,1.18
106102,Hospital Dr. Eduardo Pereira Ramírez,2018,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.94,0.94,0.94,0.94,0.94,0.94
106103,Hospital Claudio Vicuña,2018,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.07,1.07,1.07,1.07,1.07,1.07
