hospital_id,hospital_name,year,te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_input_crs_grd,te_input_vrs_grd,te_input_nirs_grd,te_output_crs_grd,te_output_vrs_grd,te_output_nirs_grd,te_input_crs_region,te_input_vrs_region,te_input_nirs_region,te_output_crs_region,te_output_vrs_region,te_output_nirs_region
101100,Hospital Doctor Juan Noé,2015,0.95,0.95,0.95,0.95,0.95,0.95,0.98,1.0,0.99,0.97,0.96,0.95,0.99,0.99,0.99,0.99,0.99,0.99
102100,Hospital de Iquique,2015,1.02,1.02,1.02,1.02,1.02,1.02,1.06,1.08,1.11,1.11,1.12,1.12,1.02,1.02,1.02,1.02,1.02,1.02
103100,Hospital de Antofagasta,2015,0.99,0.99,0.99,0.99,0.99,0.99,0.96,0.94,0.94,0.95,0.95,0.95,0.9,0.9,0.9,0.9,0.9,0.9
103101,Hospital de Calama,2015,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.03,1.0,1.0,1.01,1.02,0.92,0.92,0.92,0.92,0.92,0.92
104100,Hospital de Copiapó,2015,0.9,0.9,0.9,0.9,0.9,0.9,0.92,0.94,0.99,0.95,0.92,0.91,0.93,0.93,0.93,0.93,0.93,0.93
105100,Hospital de La Serena,2015,0.92,0.92,0.92,0.92,0.92,0.92,0.95,0.98,1.01,0.96,0.94,0.92,0.94,0.94,0.94,0.94,0.94,0.94
105101,Hospital de Coquimbo,2015,0.93,0.93,0.93,0.93,0.93,0.93,0.94,0.94,0.94,0.94,0.93,0.93,1.04,1.04,1.04,1.04,1.04,1.04
105102,Hospital de Ovalle,2015,0.95,0.95,0.95,0.95,0.95,0.95,0.98,1.02,1.05,1.06,1.05,1.04,0.86,0.86,0.86,0.86,0.86,0.86
106100,Hospital Carlos Van Buren,2015,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.92,0.92,0.92,0.92,0.92,0.92
106102,Hospital Dr. Eduardo Pereira Ramírez,2015,0.85,0.85,0.85,0.85,0.85,0.85,0.83,0.82,0.82,0.82,0.82,0.81,0.87,0.87,0.87,0.87,0.87,0.87
106103,Hospital Claudio Vicuña,2015,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.86,0.86,0.85,0.85,0.95,0.95,0.95,0.95,0.95,0.95
107100,Hospital Dr. Gustavo Fricke,2015,0.87,0.87,0.87,0.87,0.87,0.87,0.96,0.96,0.95,0.92,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89
107101,Hospital de Quillota,2015,0.95,0.95,0.95,0.95,0.95,0.95,0.98,0.99,0.98,0.96,0.96,0.95,0.83,0.83,0.83,0.83,0.83,0.83
107102,Hospital de Quilpué,2015,0.86,0.86,0.86,0.86,0.86,0.86,0.87,0.87,0.84,0.83,0.82,0.82,0.99,0.99,0.99,0.99,0.99,0.99
108100,Hospital San Camilo de San Felipe,2015,0.94,0.94,0.94,0.94,0.94,0.94,0.9,0.9,0.91,0.95,0.97,0.97,1.02,1.02,1.02,1.02,1.02,1.02
108101,Hospital San Juan de Dios (Los Andes),2015,0.99,0.99,0.99,0.99,0.99,0.99,1.0,1.01,1.01,1.04,1.05,1.06,0.88,0.88,0.88,0.88,0.88,0.88
109100,Hospital San José,2015,1.02,1.02,1.02,1.02,1.02,1.02,1.04,1.08,1.12,1.15,1.17,1.17,0.89,0.89,0.89,0.89,0.89,0.89
109101,Hospital Roberto del Río,2015,1.02,1.02,1.02,1.02,1.02,1.02,1.04,1.1,1.16,1.18,1.17,1.15,0.85,0.85,0.85,0.85,0.85,0.85
110100,Hospital San Juan de Dios (Santiago),2015,0.84,0.84,0.84,0.84,0.84,0.84,0.82,0.81,0.82,0.83,0.85,0.85,0.97,0.97,0.97,0.97,0.97,0.97
110120,Hospital Félix Bulnes Cerda,2015,0.88,0.88,0.88,0.88,0.88,0.88,0.9,0.9,0.88,0.84,0.83,0.82,0.85,0.85,0.85,0.85,0.85,0.85
110150,Hospital de Melipilla,2015,0.92,0.92,0.92,0.92,0.92,0.92,0.93,0.96,0.98,0.98,0.98,0.98,0.87,0.87,0.87,0.87,0.87,0.87
111100,Hospital Clínico San Borja Arriarán,2015,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.98,0.97,0.96,0.84,0.84,0.84,0.84,0.84,0.84
111101,Hospital El Carmen de Maipú,2015,0.87,0.87,0.87,0.87,0.87,0.87,0.91,0.92,0.93,0.94,0.94,0.94,0.99,0.99,0.99,0.99,0.99,0.99
111195,Hospital de Urgencia Asistencia Pública,2015,0.85,0.85,0.85,0.85,0.85,0.85,0.74,0.66,0.64,0.66,0.71,0.71,1.92,1.92,1.92,1.92,1.92,1.92
112100,Hospital Del Salvador de Santiago,2015,0.99,0.99,0.99,0.99,0.99,0.99,1.01,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.02,1.02
112101,Hospital Santiago Oriente Luis Tisne,2015,1.92,1.92,1.92,1.92,1.92,1.92,1.95,1.99,2.05,2.07,2.11,2.14,0.86,0.86,0.86,0.86,0.86,0.86
112102,Hospital Luis Calvo Mackena,2015,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.96,0.97,0.97,0.96,0.99,0.99,0.99,0.99,0.99,0.99
112103,Hospital del Tórax,2015,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.91,0.92,0.92,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.91
112104,Instituto de Neurocirugía,2015,0.86,0.86,0.86,0.86,0.86,0.86,0.9,0.9,0.89,0.88,0.86,0.85,0.98,0.98,0.98,0.98,0.98,0.98
113100,Hospital Barros Luco Trudeau,2015,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.95,0.96,0.96,0.97,0.85,0.85,0.85,0.85,0.85,0.85
113130,Hospital Exequiel González Cortés,2015,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.01,1.01,1.02,1.01,0.86,0.86,0.86,0.86,0.86,0.86
113180,Hospital Sanatorio El Pino,2015,0.86,0.86,0.86,0.86,0.86,0.86,0.9,0.93,0.94,0.94,0.93,0.92,1.07,1.07,1.07,1.07,1.07,1.07
