hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input_grd,te_output_grd,te_directional_grd
109100,0.59,0.68,0.47,0.78,0.73,0,NA,NA,NA,NA
109101,0.27,0.18,0.12,0.14,0.13,0,NA,NA,NA,NA
109102,0.11,0.07,0.04,0.02,0,0,NA,NA,NA,NA
109103,0.14,0.19,0.06,0.08,0.07,0,NA,NA,NA,NA
110100,0.59,0.83,0.39,0.89,0.32,0,NA,NA,NA,NA
110110,0.06,0.12,0.06,0.05,0.12,0,NA,NA,NA,NA
110120,0.59,0.43,0.4,0.46,0.43,0,NA,NA,NA,NA
110150,0.13,0.11,0.13,0.16,0.1,0.02,NA,NA,NA,NA
111100,0.64,0.6,0.16,0.31,0.16,0.09,NA,NA,NA,NA
111101,0.59,0.52,0.33,0.57,0.24,0.16,NA,NA,NA,NA
111195,0.58,0.4,0.23,0.37,0.21,0.11,NA,NA,NA,NA
112100,0.43,0.84,0.22,0.49,0.33,0,NA,NA,NA,NA
112101,0.25,0.2,0.29,0.02,0.14,0,NA,NA,NA,NA
112102,0.27,0.34,0.15,0.18,0.15,0,NA,NA,NA,NA
112103,0.14,0.31,0.07,0.14,0.04,0,NA,NA,NA,NA
112104,0.1,0.13,0.06,0.07,0.06,0,NA,NA,NA,NA
112105,0.02,0.01,0,0,0,0,NA,NA,NA,NA
112106,0.02,0.01,0.03,0,0,0,NA,NA,NA,NA
113100,0.7,0.86,0.61,0.78,0.47,0.17,NA,NA,NA,NA
113130,0.21,0.17,0.14,0.09,0.1,0.04,NA,NA,NA,NA
113180,0.3,0.25,0.26,0.35,0.17,0,NA,NA,NA,NA
114101,0.08,0.04,0.81,0.82,0.7,0,NA,NA,NA,NA
114103,0.4,0.44,0.29,0.49,0.16,0.03,NA,NA,NA,NA
114105,0.06,0.07,0.31,0.25,0.21,0.06,NA,NA,NA,NA
