hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input_grd,te_output_grd,te_directional_grd
109100,0.56,0.51,0.58,0.96,1,0,0.83,0.83,0.83,0
109101,0.28,0.16,0.2,0.12,0.15,0,1.03,0.583,1.819,0.285
109102,0.12,0.07,0.06,0.02,0,0,NA,NA,NA,NA
109103,0.12,0.12,0.06,0.07,0.06,0,NA,NA,NA,NA
110100,0.55,0.7,0.51,0.89,0.44,0,1.02,0.963,1.08,0.03
110110,0.06,0.12,0.08,0.05,0.16,0,1.24,1.24,1.24,0
110120,0.37,0.44,0.37,0.31,0.34,0,0.8,0.449,1.426,0.225
110150,0.13,0.08,0.15,0.13,0.13,0.01,0.63,0.63,0.63,0
111100,0.61,0.85,0.59,0.63,0.37,0.1,0.88,0.88,0.88,0
111101,0.48,0.43,0.37,0.48,0.26,0.07,0.92,0.92,0.92,0
111195,0.39,0.36,0.17,0.22,0.19,0.08,1.31,1.31,1.31,0
112100,0.39,0.79,0.23,0.44,0.39,0,1.19,0.783,1.808,0.245
112101,0.22,0.16,0.34,0.01,0.19,0,0.73,0.573,0.93,0.088
112102,0.25,0.33,0.19,0.2,0.19,0,1.33,0.666,2.653,0.442
112103,0.11,0.29,0.12,0.12,0.05,0,1.74,1.201,2.521,0.318
112104,0.11,0.14,0.09,0.06,0.08,0,1.67,0.695,4.02,0.69
112105,0.01,0.01,0.08,0,0,0,NA,NA,NA,NA
112106,0.02,0.01,0.02,0,0,0,NA,NA,NA,NA
113100,0.66,0.69,0.66,0.87,0.57,0.08,0.92,0.92,0.92,0
113130,0.2,0.16,0.15,0.09,0.15,0,1.1,0.58,2.086,0.34
113180,0.26,0.19,0.33,0.28,0.25,0,0.78,0.693,0.878,0.046
114101,0.96,0.94,0.86,0.69,0.75,0.19,0.95,0.95,0.95,0
114103,0.39,0.37,0.44,0.49,0.26,0.02,0.75,0.661,0.851,0.047
114105,0.44,0.57,0.35,0.2,0.29,0.04,0.86,0.524,1.411,0.209
