hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input_grd,te_output_grd,te_directional_grd
101100,0.3,0.26,0.36,0.3,0.3,0.06,0.82,0.066,10.25,0.699
102100,0.44,0.26,0.4,0.24,0.38,1,0.82,0.745,0.902,0.039
103100,0.55,0.58,0.44,0.42,0.3,0,0.93,0.026,33.712,0.88
103101,0.2,0.14,0.21,0.16,0.11,0,0.72,0.026,19.886,0.67
104100,0.26,0.22,0.26,0.18,0.23,0,0.78,0.03,20.721,0.723
105100,0.29,0.33,0.28,0.24,0.36,0,0.95,0.05,17.984,0.855
105101,0.31,0.34,0.29,0.21,0.32,0,1.01,0.044,22.994,0.925
105102,0.2,0.15,0.19,0.22,0.25,0,0.74,0.039,13.912,0.665
106100,0.47,0.42,0.41,0.32,0.33,0,1.01,0.03,33.576,0.951
106102,0.11,0.07,0.12,0.19,0.09,0,1.11,0.062,19.921,0.992
106103,0.11,0.1,0.17,0.14,0.1,0,0.71,0.038,13.323,0.638
107100,0.52,0.64,0.43,0.42,0.37,0,1.19,0.036,39.302,1.12
107101,0.18,0.16,0.21,0.25,0.23,0,0.77,0.042,14.161,0.691
107102,0.15,0.1,0.16,0.11,0.15,0.02,0.76,0.04,14.25,0.683
108100,0.16,0.11,0.24,0.16,0.25,0,0.84,0.055,12.634,0.735
108101,0.12,0.11,0.2,0.12,0.24,0,0.85,0.072,9.987,0.717
109100,0.56,0.45,0.56,0.94,0.95,0,0.84,0.06,11.637,0.727
109101,0.27,0.18,0.2,0.15,0.15,0,1.11,0.029,43.457,1.054
109102,0.11,0.07,0.05,0.02,0,0,NA,NA,NA,NA
109103,0.13,0.14,0.06,0.07,0.06,0,1.08,0.022,54.99,1.038
110100,0.54,0.76,0.51,1,0.51,0,1.09,0.065,18.247,0.967
110110,0.06,0.14,0.09,0.05,0.18,0,1.23,0.157,9.635,0.952
110120,0.38,0.4,0.36,0.34,0.33,0.2,0.82,0.173,3.895,0.535
110150,0.12,0.08,0.15,0.13,0.13,0.01,0.64,0.029,13.883,0.584
111100,0.6,0.78,0.57,0.62,0.4,0.09,0.89,0.053,14.834,0.789
111101,0.45,0.44,0.37,0.52,0.28,0.07,0.94,0.058,15.107,0.83
111195,0.38,0.31,0.18,0.24,0.18,0.09,1.32,0.125,13.934,1.092
112100,0.38,0.91,0.27,0.51,0.44,0,1.22,0.06,24.76,1.105
112101,0.21,0.17,0.34,0.02,0.19,0,0.75,0.042,13.434,0.67
112102,0.24,0.32,0.18,0.21,0.17,0,1.42,0.043,47.11,1.336
112103,0.11,0.28,0.12,0.12,0.04,0,1.78,0.068,47.318,1.65
112104,0.1,0.13,0.09,0.06,0.08,0,1.68,0.057,49.35,1.569
112105,0.01,0.01,0.07,0,0,0,NA,NA,NA,NA
112106,0.02,0.01,0.02,0,0,0,NA,NA,NA,NA
113100,0.64,0.76,0.67,0.93,0.6,0.1,0.95,0.06,15.2,0.838
113130,0.21,0.16,0.16,0.1,0.1,0.02,1.02,0.039,26.775,0.946
113180,0.26,0.18,0.32,0.31,0.25,0,0.8,0.034,18.85,0.735
114101,0.92,0.91,0.85,0.72,0.79,0,0.96,0.036,26.272,0.892
114103,0.37,0.33,0.41,0.49,0.25,0.01,0.74,0.032,17.322,0.679
114105,0.44,0.56,0.35,0.2,0.28,0.04,0.89,0.032,24.475,0.828
115100,0.55,0.53,0.48,0.48,0.54,0.11,1,0.08,12.5,0.852
115107,0.12,0.15,0.19,0.15,0.17,0,0.81,0.049,13.436,0.718
116100,0.23,0.31,0.33,0.49,0.36,0.03,0.81,0.056,11.786,0.706
116105,0.59,0.51,0.58,0.74,0.5,0,1.05,0.042,25.952,0.968
116108,0.19,0.15,0.3,0.25,0.25,0,0.79,0.044,14.109,0.706
117101,0.44,0.39,0.42,0.44,0.47,0.01,0.87,0.039,19.14,0.794
117102,0.11,0.09,0.16,0.19,0.17,0.23,0.7,0.585,0.837,0.062
118100,0.88,0.89,0.71,0.92,0.59,0.91,1.11,0.46,2.684,0.461
118105,0.11,0.04,0.15,0.16,0.11,0.27,0.62,0.62,0.62,0
118106,0.08,0.04,0.11,0.13,0.07,0.17,NA,NA,NA,NA
119100,0.44,0.51,0.45,0.52,0.46,0,0.96,0.042,21.579,0.878
119101,0.07,0.04,0.09,0.12,0.08,0.05,NA,NA,NA,NA
120101,0.02,0.01,0.58,0.62,0.47,0.05,0.9,0.9,0.9,0
121109,0.65,0.89,0.67,0.22,0.51,0.11,1.06,0.072,15.659,0.925
122100,0.41,0.55,0.44,0.47,0.38,0.06,0.96,0.057,16.4,0.853
123100,0.38,0.32,0.35,0.43,0.37,0,0.86,0.035,20.756,0.791
124105,0.61,0.64,0.5,0.45,0.45,0.82,0.96,0.516,1.786,0.289
125100,0.29,0.19,0.2,0.2,0.11,0,0.86,0.021,36.163,0.82
126100,0.35,0.31,0.26,0.19,0.2,0,0.97,0.025,37.867,0.921
129100,0.13,0.07,0.17,0.11,0.13,0.09,0.68,0.188,2.455,0.385
129106,0.14,0.09,0.16,0.12,0.11,0.06,0.76,0.13,4.433,0.537
133150,0.19,0.1,0.16,0.14,0.16,0.03,0.82,0.052,12.983,0.722
