hospital_id,region,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,te_input,te_output,te_directional
103100,3,0.64,0.8,0.33,0.44,0.23,0,1,1,0
103101,3,0.24,0.17,0.16,0.16,0.06,0,1,1,0
104100,3,0.26,0.25,0.18,0.17,0.13,0,1,1,0
105100,4,0.34,0.34,0.19,0.25,0.14,0,1,1,0
105101,4,0.36,0.34,0.21,0.18,0.17,0,1,1,0
105102,4,0.26,0.2,0.11,0.2,0.11,0,1,1,0
106100,5,0.49,0.42,0.24,0.26,0.16,0,1,1,0
106102,5,0.1,0.1,0.03,0.13,0.03,0,1,1,0
106103,5,0.1,0.09,0.07,0.09,0.03,0,1,1,0
107100,5,0.56,0.76,0.32,0.34,0.24,0,1,1,0
107101,5,0.18,0.22,0.12,0.21,0.11,0,1,1,0
107102,5,0.15,0.12,0.08,0.09,0.06,0.02,1,1,0
108100,5,0.17,0.12,0.14,0.16,0.13,0,1,1,0
108101,5,0.13,0.11,0.1,0.09,0.12,0,1,1,0
115100,6,0.58,0.53,0.39,0.46,0.35,0.14,1,1,0
115107,6,0.13,0.17,0.08,0.13,0.08,0,1,1,0
116100,7,0.24,0.3,0.21,0.35,0.2,0,1,1,0
116105,7,0.61,0.57,0.46,0.61,0.39,0,1,1,0
116108,7,0.2,0.17,0.18,0.21,0.14,0,1,1,0
118100,8,0.93,0.89,0.46,0.75,0.36,0.23,1,1,0
118105,8,0.11,0.05,0.06,0.11,0.03,0.14,1,1,0
119100,8,0.49,0.5,0.31,0.46,0.24,0,0.02,1.281,0.226
120101,8,0.01,0.01,0.4,0.48,0.25,0.05,1,1,0
121109,9,0.7,0.88,0.44,0.49,0.34,0.1,1,1,0
129100,9,0.17,0.1,0.08,0.08,0.04,0.14,1,1,0
129106,9,0.14,0.09,0.06,0.09,0.04,0.05,1,1,0
123100,10,0.4,0.39,0.26,0.4,0.29,0,1,1,0
124105,10,0.67,0.69,0.4,0.43,0.29,0.1,1,1,0
133150,10,0.18,0.09,0.08,0.11,0.08,0.03,1,1,0
109100,13,0.58,0.65,0.45,0.72,0.75,0,1,1,0
109101,13,0.27,0.17,0.06,0.11,0.07,0,0.529,1.944,0.332
110100,13,0.57,0.76,0.33,0.81,0.33,0,1,1,0
110120,13,0.5,0.38,0.29,0.29,0.25,0,0.853,1.123,0.067
110150,13,0.13,0.09,0.08,0.12,0.07,0.04,1,1,0
111100,13,0.64,0.67,0.34,0.44,0.22,0.1,0.77,1.217,0.113
111101,13,0.55,0.49,0.29,0.44,0.17,0.09,0.928,1.063,0.035
111195,13,0.48,0.35,0.15,0.29,0.16,0.08,1,1,0
112100,13,0.43,0.99,0.18,0.4,0.24,0,0.74,1.417,0.16
112101,13,0.22,0.22,0.27,0.01,0.1,0,1,1,0
112102,13,0.26,0.32,0.07,0.16,0.08,0,0.598,2.003,0.288
112103,13,0.12,0.29,0.01,0.1,0,0,1,1,0
112104,13,0.1,0.13,0,0.05,0.03,0,1,1,0
113100,13,0.69,0.81,0.56,0.75,0.4,0.14,1,1,0
113130,13,0.2,0.15,0.06,0.07,0.05,0.04,0.65,1.224,0.142
113180,13,0.28,0.24,0.22,0.31,0.14,0,1,1,0
114101,13,1,1,0.69,0.63,0.54,0,1,1,0
114103,13,0.4,0.37,0.27,0.43,0.15,0.04,1,1,0
117101,16,0.49,0.4,0.31,0.37,0.27,0.06,1,1,0
117102,16,0.12,0.09,0.08,0.11,0.07,0.05,1,1,0
