hospital_id,region,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,te_input,te_output,te_directional
103100,3,0.44,0.47,0.35,0.26,0.34,0,1,1,0
103101,3,0.14,0.12,0.13,0.1,0.04,0,1,1,0
104100,3,0.25,0.24,0.2,0.14,0.16,0,1,1,0
105100,4,0.27,0.32,0.25,0.23,0.33,0,0.965,1.036,0.018
105101,4,0.28,0.29,0.25,0.18,0.3,0,0.893,1.12,0.057
105102,4,0.15,0.13,0.15,0.16,0.19,0,1,1,0
106100,5,0.48,0.47,0.51,0.29,0.3,0,0.797,1.255,0.113
106102,5,0.1,0.07,0.07,0.13,0.05,0,1,1,0
106103,5,0.1,0.09,0.13,0.14,0.07,0,1,1,0
107100,5,0.51,0.66,0.38,0.38,0.32,0,0.603,1.66,0.248
107101,5,0.17,0.18,0.17,0.22,0.18,0,1,1,0
107102,5,0.14,0.1,0.11,0.07,0.11,0.04,1,1,0
108100,5,0.15,0.11,0.2,0.12,0.2,0,1,1,0
108101,5,0.12,0.1,0.16,0.1,0.21,0,1,1,0
115100,6,0.5,0.58,0.37,0.39,0.38,0.1,1,1,0
115107,6,0.11,0.13,0.15,0.11,0.13,0,1,1,0
116100,7,0.23,0.26,0.27,0.47,0.29,0.01,1,1,0
116105,7,0.56,0.51,0.47,0.59,0.41,0,0.692,1.445,0.182
116108,7,0.19,0.14,0.26,0.2,0.22,0,1,1,0
118100,8,0.86,0.91,0.67,0.63,0.58,0.71,0.118,8.479,0.789
118105,8,0.1,0.03,0.11,0.13,0.08,0.27,0.386,2.593,0.443
119100,8,0.43,0.48,0.41,0.44,0.36,0,0.021,46.583,0.958
120101,8,0.01,0,0.53,0.52,0.39,0.07,1,1,0
121109,9,0.66,0.89,0.66,0.64,0.48,0.09,1,1,0
129100,9,0.12,0.06,0.12,0.08,0.07,0.11,1,1,0
129106,9,0.12,0.08,0.11,0.09,0.08,0.03,1,1,0
123100,10,0.37,0.32,0.3,0.34,0.32,0,1,1,0
124105,10,0.58,0.61,0.47,0.36,0.37,0,0.999,1.001,0
133150,10,0.17,0.09,0.11,0.1,0.11,0.05,1,1,0
109100,13,0.54,0.51,0.53,0.9,0.83,0,1,1,0
109101,13,0.27,0.17,0.14,0.11,0.14,0,0.508,1.968,0.326
110100,13,0.55,0.67,0.48,0.82,0.41,0,0.895,1.118,0.056
110120,13,0.37,0.44,0.32,0.28,0.36,0,0.751,1.331,0.142
110150,13,0.12,0.07,0.11,0.12,0.13,0.01,1,1,0
111100,13,0.59,0.81,0.52,0.6,0.36,0.11,1,1,0
111101,13,0.47,0.45,0.34,0.43,0.19,0.08,1,1,0
111195,13,0.46,0.41,0.13,0.19,0.15,0.06,0.723,1.383,0.161
112100,13,0.38,0.77,0.16,0.39,0.36,0,0.616,1.622,0.237
112101,13,0.2,0.17,0.3,0,0.16,0,1,1,0
112102,13,0.23,0.34,0.13,0.2,0.17,0,0.557,1.795,0.284
112103,13,0.11,0.25,0.06,0.11,0.02,0,0.6,1.667,0.25
112104,13,0.1,0.14,0.04,0.05,0.05,0,0.37,2.7,0.459
113100,13,0.67,0.68,0.61,0.84,0.54,0.09,1,1,0
113130,13,0.17,0.13,0.11,0.07,0.1,0,0.556,1.798,0.285
113180,13,0.25,0.18,0.27,0.27,0.18,0,1,1,0
114101,13,0.93,0.84,0.89,0.64,0.73,0.17,1,1,0
114103,13,0.39,0.32,0.38,0.46,0.22,0.02,0.979,1.021,0.011
117101,16,0.44,0.37,0.39,0.33,0.36,0.02,0.985,1.015,0.008
117102,16,0.1,0.08,0.09,0.08,0.11,0.13,1,1,0
