hospital_id,hospital_fns_id,region,hospital_name,hospital_alternative_name,slug
101100,103,15,Hospital Regional Dr. Juan Noé Crevani,Hospital Doctor Juan Noé,hospital-regional-dr-juan-noe-crevani
102100,203,1,Hospital Dr. Ernesto Torres Galdames,Hospital de Iquique,hospital-dr-ernesto-torres-galdames
103100,303,3,Hospital Dr. Leonardo Guzmán,Hospital de Antofagasta,hospital-dr-leonardo-guzman
103101,304,3,Hospital Dr. Carlos Cisternas,Hospital de Calama,hospital-dr-carlos-cisternas
104100,403,3,Hospital San José del Carmen,Hospital de Copiapó,hospital-san-jose-del-carmen
105100,503,4,Hospital San Juan de Dios (Serena),Hospital de La Serena,hospital-san-juan-de-dios
105101,504,4,Hospital San Pablo,Hospital de Coquimbo,hospital-san-pablo
105102,505,4,Hospital Dr. Antonio Tirado Lanas de Ovalle,Hospital de Ovalle,hospital-dr-antonio-tirado-lanas-de-ovalle
108100,803,5,Hospital San Camilo de San Felipe,Hospital San Camilo de San Felipe,hospital-san-camilo-de-san-felipe
108101,804,5,Hospital San Juan de Dios (Los Andes),Hospital San Juan de Dios (Los Andes),hospital-san-juan-de-dios
107101,704,5,Hospital San Martín,Hospital de Quillota,hospital-san-martin
107100,703,5,Hospital Dr. Gustavo Fricke,Hospital Dr. Gustavo Fricke,hospital-dr-gustavo-fricke
106100,603,5,Hospital Carlos Van Buren,Hospital Carlos Van Buren,hospital-carlos-van-buren
107102,705,5,Hospital de Quilpué,Hospital de Quilpué,hospital-de-quilpue
106102,607,5,Hospital Dr. Eduardo Pereira Ramírez,Hospital Dr. Eduardo Pereira Ramírez,hospital-dr-eduardo-pereira-ramirez
110120,2708,13,Hospital Félix Bulnes Cerda,Hospital Félix Bulnes Cerda,hospital--felix-bulnes-cerda
109101,2605,13,Hospital Clínico de Niños Dr. Roberto del Río,Hospital Roberto del Río,hospital-clinico-de-ninos-dr-roberto-del-rio
109100,2606,13,Complejo Hospitalario San José,Hospital San José,complejo-hospitalario-san-jose
109103,2607,13,Instituto Nacional del Cáncer Dr. Caupolicán Pardo Correa,Instituto Nacional del Cáncer,instituto-nacional-del-cancer-dr-caupolican-pardo-correa
109102,2608,13,Instituto Psiquiátrico Dr. José Horwitz Barak,Instituto Psiquiatrico,instituto-psiquiatrico-dr-jose-horwitz-barak
112102,2304,13,Hospital de Niños Dr. Luis Calvo Mackenna,Hospital Luis Calvo Mackena,hospital-de-ninos-dr-luis-calvo-mackenna
112106,2307,13,Instituto Nacional Geriátrico,Instituto Nacional Geriátrico,instituto-nacional-geriatrico-presidente-eduardo-frei-montalva
110110,27010,13,Instituto Traumatológico Dr. Teodoro Gebauer,Instituto Traumatológico,instituto-traumatologico-dr-teodoro-gebauer
112100,2306,13,Hospital Del Salvador de Santiago,Hospital Del Salvador de Santiago,hospital-del-salvador-de-santiago
112104,2308,13,Instituto de Neurocirugía Dr. Alfonso Asenjo,Instituto de Neurocirugía,instituto-de-neurocirugia-dr-alfonso-asenjo
112103,2303,13,Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica,Hospital del Tórax,instituto-nacional-de-enfermedades-respiratorias-y-cirugia-toracica
