hospital_id,hospital_name
103,Hospital Doctor Juan Noe
203,Hospital de Iquique
204,Hospital de Alto Hospicio
303,Hospital de Antofagasta
304,Hospital de Calama
305,Hospital de Tocopilla
306,Hospital de Taltal
307,Hospital de Mejillones
403,Hospital Regional de Copiapo
404,Hospital de ChaÃ±aral
405,Hospital Diego de Almagro
406,Hospital de Vallenar
407,Hospital de Huasco
503,Hospital La Serena
504,Hospital Coquimbo
505,Hospital Ovalle
506,Hospital Illapel
507,Hospital Salamanca
508,Hospital Combarbala
509,Hospital de Andacollo
5010,Hospital VicuÃ±a
5011,Hospital Los Vilos
603,Hospital Carlos Van Buren
604,Hospital Claudio VicuÃ±a
605,Hospital Del Salvador
606,Hospital San Jose Casablanca
607,Hospital Doctor Eduardo Pereira
608,Atencion Primaria de Salud
703,Hospital Doctor Gustavo Fricke
704,Hospital de Quillota
705,Hospital de Quilpue
706,Hospital de La Calera
707,Hospital Geriatrico Paz de la Tarde
708,Hospital de Limache
709,Hospital de La Ligua
7010,Hospital Cabildo
7011,Hospital Petorca
7012,Hospital de Quintero
7013,Hospital PeÃ±ablanca
803,Hospital San Camilo de San Felipe
804,Hospital San Juan de Dios de Los Andes
805,Hospital San Francisco de Llay Llay
806,Hospital San Antonio de Putaendo
807,Hospital Psiquiatrico Doctor Philippe Pinel de Putaendo
808,Consultorio General Urbano de San Felipe
809,Consultorio General Urbano Nº 2 de Los Andes
8010,Consultorio General Urbano de Llay Llay
8011,Centro De Salud Mental Comunitaria San Felipe
8012,Centro De Salud Mental Comunitaria Los Andes
903,Hospital Rancagua
904,Hospital Graneros
905,Hospital Coinco
906,Hospital Peumo
907,Hospital de Rengo
908,Hospital San Vicente
909,Hospital Pichidegua
9010,Hospital San Fernando
9011,Hospital Chimbarongo
9012,Hospital Nancagua
9013,Hospital Santa Cruz
9014,Hospital Marchigue
9015,Hospital Pichilemu
9016,Hospital de Lolol
9017,Hospital de Litueche
1003,Hospital Curico
1004,Hospital de Teno
1005,Hospital Molina
1006,Hospital Hualane
1007,Hospital Licanten
1008,Hospital Talca
1009,Hospital Curepto
10010,Hospital Constitucion
10011,Hospital Linares
10012,Hospital San Javier
10013,Hospital Parral
10014,Hospital Cauquenes
10015,Hospital Chanco
1103,Hospital de Chillan
1104,Hospital de San Carlos
1105,Hospital de Bulnes
1106,Hospital de Yungay
1107,Hospital de Quirihue
1108,Hospital de Coelemu
1109,Hospital El Carmen
11010,Consultorio Violeta Parra
11011,Centro Comunitario Salud Mental
1203,Hospital Guillermo Grant Benavente
1204,Hospital Traumatologico
1205,Hospital de Coronel
1206,Hospital Lota
1207,Hospital Santa Juana
1208,Hospital Florida
1209,Consultorio Victor Manuel Fernandez
12010,Centro de Sangre y Tejidos
1303,Hospital Higueras
1304,Hospital Tome
1305,Hospital Penco Lirquen
1306,CESFAM LIRQUEN
1403,CENTRO REGULADOR SAMU SERVICIO SALUD BIO BIO
1404,Hospital Huepil
1405,Hospital de Laja
1406,Hospital de Los Angeles
1407,Hospital de Mulchen
1408,Hospital de Nacimiento
1409,Hospital de Yumbel
14010,Hospital Santa Barbara
1503,Hospital Arauco
1504,Hospital de CaÃ±ete
1505,Hospital Contulmo
1506,Hospital Curanilahue
1507,Hospital Lebu
1603,Hospital Angol
1604,Hospital Victoria
1605,Hospital Traiguen
1606,Hospital de Collipulli
1607,Hospital Puren
1608,Hospital Curacautin
1609,Hospital de Lonquimay
1703,Consultorio de Miraflores
1704,Hospital de Cunco
1705,Hospital Nueva Imperial
1706,Hospital Villarica
1707,Hospital Carahue
1708,Hospital Gorbea
1709,Hospital Pitrufquen
17010,Hospital Puerto Saavedra
17011,Hospital Tolten
17012,Hospital Galvarino
17013,Hospital Lautaro
17014,Hospital Loncoche
17015,Hospital Vilcun
17016,Hospital Temuco
17017, Complejo Asistencial Padre Las Casas
1803,Hospital de Valdivia
1804,Hospital de Corral
1805,Hospital de Los Lagos
1806,Hospital de Lanco
1807,Hospital de La Union
1808,Hospital de Rio Bueno
1809,Hospital de Paillaco
