hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input_grd,te_output_grd,te_directional_grd
109100,0.52,0.5,0.55,0.81,0.89,0,0.79,0.79,0.79,0
109101,0.27,0.19,0.17,0.12,0.15,0,1.09,0.531,2.24,0.376
109102,0.12,0.08,0.06,0.01,0,0,NA,NA,NA,NA
109103,0.11,0.12,0.06,0.07,0.05,0,NA,NA,NA,NA
110100,0.52,0.68,0.52,0.8,0.42,0,1,0.988,1.012,0.006
110110,0.06,0.11,0.07,0.05,0.15,0,1.31,1.31,1.31,0
110120,0.34,0.42,0.33,0.24,0.32,0,0.82,0.462,1.456,0.23
110150,0.12,0.08,0.15,0.12,0.13,0.02,0.64,0.64,0.64,0
111100,0.57,0.8,0.5,0.57,0.33,0.13,0.91,0.91,0.91,0
111101,0.44,0.4,0.34,0.37,0.22,0.05,0.84,0.602,1.172,0.139
111195,0.42,0.34,0.17,0.19,0.24,0.07,1.22,1.138,1.307,0.041
112100,0.37,0.73,0.2,0.39,0.33,0,1.17,0.792,1.729,0.226
112101,0.2,0.19,0.35,0.02,0.18,0,0.72,0.511,1.014,0.122
112102,0.24,0.34,0.2,0.2,0.17,0,1.27,0.728,2.216,0.344
112103,0.11,0.26,0.1,0.11,0.03,0,1.63,1.1,2.416,0.316
112104,0.11,0.15,0.08,0.06,0.07,0,1.77,0.726,4.317,0.74
112105,0.01,0.01,0.07,0,0,0,NA,NA,NA,NA
112106,0.02,0.01,0.02,0,0,0,NA,NA,NA,NA
113100,0.64,0.68,0.59,0.78,0.48,0.12,0.87,0.87,0.87,0
113130,0.17,0.13,0.15,0.08,0.13,0,1.12,0.7,1.793,0.259
113180,0.24,0.2,0.31,0.25,0.21,0,0.76,0.651,0.887,0.059
114101,0.84,0.82,0.92,0.64,0.66,0.15,0.91,0.854,0.968,0.028
114103,0.36,0.34,0.39,0.42,0.22,0.02,0.76,0.655,0.882,0.056
114105,0.42,0.5,0.32,0.17,0.26,0.04,0.85,0.491,1.47,0.227
