hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input_grd,te_output_grd,te_directional_grd
109100,0.56,0.45,0.56,0.94,0.95,0,0.84,0.84,0.84,0
109101,0.27,0.18,0.2,0.15,0.15,0,1.11,0.541,2.28,0.383
109102,0.11,0.07,0.05,0.02,0,0,NA,NA,NA,NA
109103,0.13,0.14,0.06,0.07,0.06,0,1.08,0.361,3.237,0.54
110100,0.54,0.76,0.51,1,0.51,0,1.09,1.09,1.09,0
110110,0.06,0.14,0.09,0.05,0.18,0,1.23,1.23,1.23,0
110120,0.38,0.4,0.36,0.34,0.33,0.2,0.82,0.82,0.82,0
110150,0.12,0.08,0.15,0.13,0.13,0.01,0.64,0.64,0.64,0
111100,0.6,0.78,0.57,0.62,0.4,0.09,0.89,0.666,1.19,0.128
111101,0.45,0.44,0.37,0.52,0.28,0.07,0.94,0.77,1.148,0.094
111195,0.38,0.31,0.18,0.24,0.18,0.09,1.32,0.944,1.847,0.219
112100,0.38,0.91,0.27,0.51,0.44,0,1.22,0.948,1.569,0.152
112101,0.21,0.17,0.34,0.02,0.19,0,0.75,0.541,1.04,0.122
112102,0.24,0.32,0.18,0.21,0.17,0,1.42,0.765,2.636,0.426
112103,0.11,0.28,0.12,0.12,0.04,0,1.78,1.184,2.675,0.358
112104,0.1,0.13,0.09,0.06,0.08,0,1.68,0.785,3.595,0.61
112105,0.01,0.01,0.07,0,0,0,NA,NA,NA,NA
112106,0.02,0.01,0.02,0,0,0,NA,NA,NA,NA
113100,0.64,0.76,0.67,0.93,0.6,0.1,0.95,0.924,0.977,0.013
113130,0.21,0.16,0.16,0.1,0.1,0.02,1.02,0.523,1.99,0.328
113180,0.26,0.18,0.32,0.31,0.25,0,0.8,0.746,0.858,0.028
114101,0.92,0.91,0.85,0.72,0.79,0,0.96,0.521,1.768,0.284
114103,0.37,0.33,0.41,0.49,0.25,0.01,0.74,0.628,0.872,0.061
114105,0.44,0.56,0.35,0.2,0.28,0.04,0.89,0.398,1.992,0.34
