hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input_grd,te_output_grd,te_directional_grd
109100,0.49,0.51,0.6,0.82,0.95,0,0.79,0.79,0.79,0
109101,0.26,0.19,0.18,0.12,0.17,0,1.05,0.536,2.057,0.34
109102,0.1,0.08,0.05,0,0,0,NA,NA,NA,NA
109103,0.09,0.14,0.06,0.06,0.04,0,NA,NA,NA,NA
110100,0.48,0.71,0.52,0.79,0.41,0,1,0.983,1.017,0.008
110110,0.06,0.11,0.08,0.05,0.16,0,1.2,1.2,1.2,0
110120,0.31,0.39,0.32,0.23,0.31,0,0.77,0.415,1.43,0.231
110150,0.11,0.08,0.15,0.1,0.14,0.01,0.63,0.63,0.63,0
111100,0.54,0.88,0.48,0.56,0.35,0.11,0.87,0.832,0.91,0.02
111101,0.36,0.35,0.31,0.32,0.18,0.03,0.77,0.557,1.065,0.124
111195,0.4,0.32,0.17,0.16,0.17,0.07,1.22,1.115,1.336,0.055
112100,0.35,0.79,0.41,0.38,0.41,0,1.14,0.793,1.638,0.204
112101,0.18,0.21,0.37,0.02,0.18,0,0.68,0.509,0.908,0.098
112102,0.22,0.35,0.2,0.2,0.18,0,1.26,0.723,2.196,0.341
112103,0.11,0.25,0.1,0.1,0.04,0,1.71,0.982,2.981,0.463
112104,0.1,0.14,0.08,0.05,0.06,0,1.73,0.619,4.832,0.818
112105,0.01,0.02,0.08,0,0,0,NA,NA,NA,NA
112106,0.02,0.01,0.02,0,0,0,NA,NA,NA,NA
113100,0.61,0.67,0.59,0.72,0.5,0.13,0.91,0.91,0.91,0
113130,0.16,0.12,0.15,0.08,0.14,0,1.07,0.72,1.589,0.209
113180,0.23,0.19,0.33,0.24,0.19,0,0.78,0.762,0.798,0.009
114101,0.82,0.71,0.9,0.61,0.65,0.17,0.86,0.86,0.86,0
114103,0.34,0.33,0.42,0.4,0.23,0.02,0.67,0.603,0.744,0.036
114105,0.39,0.43,0.25,0.23,0.2,0.05,0.88,0.541,1.43,0.209
