hospital_id,hospital_discharge,diagnostic_tests,surgical_interventions,medical_consultations,GRD
102100,18521,1066779.0,15896.0,0.0,0.8223
103101,8406,600182.0,3463.0,0.0,0.6829
103100,18519,1479786.0,14689.0,0.0,0.906
104100,11521,768385.0,9717.0,0.0,0.7663
105102,8892,858729.0,11293.0,0.0,0.7126
105101,13511,900028.0,15688.0,0.0,1.0042
105100,12506,883266.0,16323.0,0.0,0.9487
106103,8169,780582.0,4712.0,0.0,0.6826
106102,5488,763507.0,3912.0,0.0,1.0663
107102,7526,408443.0,6873.0,882.0,0.7461
106100,18950,1314900.0,16327.0,0.0,1.0209
107100,19162,1664149.0,17486.0,0.0,1.1867
107101,10330,1110958.0,11041.0,0.0,0.7478
108101,9081,516349.0,11760.0,0.0,0.7783
108100,11761,663417.0,11325.0,0.0,0.7851
115107,9230,575507.0,8040.0,0.0,0.7751
115100,20103,2045681.0,23861.0,5178.0,1.0167
116108,13094,972311.0,12912.0,0.0,0.7799
116105,26046,3145967.0,22745.0,0.0,1.0186
116100,14717,2118544.0,16792.0,0.0,0.7851
120101,26020,2665896.0,22170.0,4056.0,0.8587
118106,4872,621226.0,3239.0,10898.0,
119101,4220,522095.0,3215.0,3800.0,
119100,20893,2057220.0,19524.0,0.0,0.9482
118100,32151,3800062.0,30160.0,38239.0,1.0933
121109,31319,3531941.0,26114.0,4897.0,1.0372
129100,7397,414908.0,5603.0,4160.0,0.6791
129106,7624,531485.0,5819.0,1827.0,0.7414
123100,15777,1707018.0,18238.0,0.0,0.8574
124105,22350,1846478.0,21106.0,49980.0,0.9263
133150,7149,549042.0,7253.0,1404.0,0.8421
125100,9255,954246.0,5469.0,0.0,0.83
126100,11213,828133.0,8921.0,0.0,0.9881
109103,2976,298033.0,3035.0,0.0,
111195,7989,1003254.0,9004.0,4296.0,1.3127
113130,6761,395227.0,7157.0,0.0,1.0957
113100,30233,3973087.0,27518.0,4341.0,0.9234
112101,15610,49972.0,9079.0,0.0,0.7306
111101,17144,2214987.0,12582.0,3679.0,0.919
114105,16111,897085.0,13859.0,2302.0,0.8628
114103,20180,2261976.0,12460.0,921.0,0.7452
114101,39259,3154374.0,36286.0,9974.0,0.9522
113180,14924,1263150.0,11893.0,0.0,0.7819
110150,7012,602110.0,6417.0,762.0,0.6273
110100,23550,4081988.0,20965.0,235.0,1.0192
112103,5482,531325.0,2281.0,0.0,1.7354
111100,27006,2887404.0,17748.0,4931.0,0.876
109100,26457,4385599.0,48087.0,0.0,0.8275
109101,9025,570725.0,7331.0,0.0,1.0349
110120,16758,1396488.0,16297.0,0.0,0.7998
109102,2628,81054.0,0.0,0.0,
112104,4067,278222.0,3940.0,0.0,1.6667
112102,8592,922215.0,9034.0,0.0,1.3343
112106,999,261.0,0.0,0.0,
110110,3671,240924.0,7870.0,0.0,1.2351
112105,3868,2723.0,0.0,0.0,
112100,10415,1994988.0,18695.0,0.0,1.1887
122100,20504,2124301.0,18275.0,1908.0,0.9335
101100,16382,1322625.0,15480.0,2567.0,0.7965
117102,7417,444326.0,8356.0,11809.0,0.6921
117101,18902,1661581.0,22437.0,0.0,0.8742
118105,7154,677855.0,5593.0,15278.0,0.6073
