hospital_id,hospital_name,year,te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_input_crs_grd,te_input_vrs_grd,te_input_nirs_grd,te_output_crs_grd,te_output_vrs_grd,te_output_nirs_grd,te_input_crs_region,te_input_vrs_region,te_input_nirs_region,te_output_crs_region,te_output_vrs_region,te_output_nirs_region
101100,Hospital Doctor Juan Noé,2016,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.01,1.0,0.99,0.99,0.98,0.88,0.88,0.88,0.88,0.88,0.88
102100,Hospital de Iquique,2016,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.88,0.88,0.88,0.88,0.88,0.87,0.87,0.87,0.87,0.87,0.87
103100,Hospital de Antofagasta,2016,0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.84,0.8,0.77,0.76,0.76,0.85,0.85,0.85,0.85,0.85,0.85
103101,Hospital de Calama,2016,0.91,0.91,0.91,0.91,0.91,0.91,0.87,0.84,0.84,0.85,0.85,0.85,0.99,0.99,0.99,0.99,0.99,0.99
104100,Hospital de Copiapó,2016,0.85,0.85,0.85,0.85,0.85,0.85,0.9,0.97,0.98,0.9,0.86,0.84,0.95,0.95,0.95,0.95,0.95,0.95
105100,Hospital de La Serena,2016,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1.05,1.1,1.13,1.14,1.14,0.9,0.9,0.9,0.9,0.9,0.9
105101,Hospital de Coquimbo,2016,0.95,0.95,0.95,0.95,0.95,0.95,0.97,0.99,1.0,0.99,0.98,0.98,0.91,0.91,0.91,0.91,0.91,0.91
105102,Hospital de Ovalle,2016,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.94,0.94,0.95,0.96,0.96,0.95,0.95,0.95,0.95,0.95,0.95
106100,Hospital Carlos Van Buren,2016,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,0.99,0.99,0.99,0.99,0.86,0.86,0.86,0.86,0.86,0.86
106102,Hospital Dr. Eduardo Pereira Ramírez,2016,0.93,0.93,0.93,0.93,0.93,0.93,0.96,0.97,0.97,0.94,0.92,0.91,0.88,0.88,0.88,0.88,0.88,0.88
106103,Hospital Claudio Vicuña,2016,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.04,1.04,0.94,0.94,0.94,0.94,0.94,0.94
107100,Hospital Dr. Gustavo Fricke,2016,0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.91,0.95,0.93,0.91,0.9,1.0,1.0,1.0,1.0,1.0,1.0
107101,Hospital de Quillota,2016,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.96,0.96,0.94,0.94,0.94,0.99,0.99,0.99,0.99,0.99,0.99
107102,Hospital de Quilpué,2016,0.95,0.95,0.95,0.95,0.95,0.95,0.98,1.01,1.02,1.02,1.01,1.0,0.96,0.96,0.96,0.96,0.96,0.96
108100,Hospital San Camilo de San Felipe,2016,0.9,0.9,0.9,0.9,0.9,0.9,0.98,1.04,1.05,0.97,0.94,0.94,0.9,0.9,0.9,0.9,0.9,0.9
108101,Hospital San Juan de Dios (Los Andes),2016,0.96,0.96,0.96,0.96,0.96,0.96,1.0,1.03,1.02,0.99,0.97,0.96,0.84,0.84,0.84,0.84,0.84,0.84
109100,Hospital San José,2016,0.83,0.83,0.83,0.83,0.83,0.83,0.84,0.85,0.87,0.89,0.89,0.89,0.94,0.94,0.94,0.94,0.94,0.94
109101,Hospital Roberto del Río,2016,0.9,0.9,0.9,0.9,0.9,0.9,0.89,0.9,0.93,0.95,0.98,0.99,0.93,0.93,0.93,0.93,0.93,0.93
110100,Hospital San Juan de Dios (Santiago),2016,1.0,1.0,1.0,1.0,1.0,1.0,1.05,1.07,1.06,1.03,1.01,1.0,0.88,0.88,0.88,0.88,0.88,0.88
110120,Hospital Félix Bulnes Cerda,2016,0.84,0.84,0.84,0.84,0.84,0.84,0.82,0.82,0.83,0.86,0.88,0.88,0.96,0.96,0.96,0.96,0.96,0.96
110150,Hospital de Melipilla,2016,0.86,0.86,0.86,0.86,0.86,0.86,0.87,0.88,0.9,0.9,0.9,0.89,1.32,1.32,1.32,1.32,1.32,1.32
