hospital_id,region,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,te_input,te_output,te_directional
103100,3,0.64,0.8,0.33,0.44,0.23,0,1,1,0
103101,3,0.24,0.17,0.16,0.16,0.06,0,1,1,0
104100,3,0.26,0.25,0.18,0.17,0.13,0,1,1,0
105100,4,0.34,0.34,0.19,0.25,0.14,0,1,1,0
105101,4,0.36,0.34,0.21,0.18,0.17,0,1,1,0
105102,4,0.26,0.2,0.11,0.2,0.11,0,1,1,0
106100,5,0.49,0.42,0.24,0.26,0.16,0,0.595,1.681,0.254
106102,5,0.1,0.1,0.03,0.13,0.03,0,1,1,0
106103,5,0.1,0.09,0.07,0.09,0.03,0,0.897,1.115,0.054
107100,5,0.56,0.76,0.32,0.34,0.24,0,0.694,1.441,0.181
107101,5,0.18,0.22,0.12,0.21,0.11,0,1,1,0
107102,5,0.15,0.12,0.08,0.09,0.06,0.02,1,1,0
108100,5,0.17,0.12,0.14,0.16,0.13,0,1,1,0
108101,5,0.13,0.11,0.1,0.09,0.12,0,1,1,0
115100,6,0.58,0.53,0.39,0.46,0.35,0.14,1,1,0
115107,6,0.13,0.17,0.08,0.13,0.08,0,1,1,0
116100,7,0.24,0.3,0.21,0.35,0.2,0,1,1,0
116105,7,0.61,0.57,0.46,0.61,0.39,0,0.88,1.136,0.064
116108,7,0.2,0.17,0.18,0.21,0.14,0,1,1,0
118100,8,0.93,0.89,0.46,0.75,0.36,0.23,0.052,19.348,0.902
118105,8,0.11,0.05,0.06,0.11,0.03,0.14,0.56,1.786,0.282
119100,8,0.49,0.5,0.31,0.46,0.24,0,0.02,51.042,0.962
120101,8,0.01,0.01,0.4,0.48,0.25,0.05,1,1,0
121109,9,0.7,0.88,0.44,0.49,0.34,0.1,1,1,0
129100,9,0.17,0.1,0.08,0.08,0.04,0.14,1,1,0
129106,9,0.14,0.09,0.06,0.09,0.04,0.05,1,1,0
123100,10,0.4,0.39,0.26,0.4,0.29,0,1,1,0
124105,10,0.67,0.69,0.4,0.43,0.29,0.1,1,1,0
133150,10,0.18,0.09,0.08,0.11,0.08,0.03,1,1,0
109100,13,0.58,0.65,0.45,0.72,0.75,0,1,1,0
109101,13,0.27,0.17,0.06,0.11,0.07,0,0.497,2.013,0.336
110100,13,0.57,0.76,0.33,0.81,0.33,0,1,1,0
110120,13,0.5,0.38,0.29,0.29,0.25,0,0.826,1.211,0.096
110150,13,0.13,0.09,0.08,0.12,0.07,0.04,1,1,0
111100,13,0.64,0.67,0.34,0.44,0.22,0.1,0.691,1.448,0.183
111101,13,0.55,0.49,0.29,0.44,0.17,0.09,0.771,1.297,0.129
111195,13,0.48,0.35,0.15,0.29,0.16,0.08,0.631,1.586,0.227
112100,13,0.43,0.99,0.18,0.4,0.24,0,0.683,1.463,0.188
112101,13,0.22,0.22,0.27,0.01,0.1,0,1,1,0
112102,13,0.26,0.32,0.07,0.16,0.08,0,0.457,2.19,0.373
112103,13,0.12,0.29,0.01,0.1,0,0,0.586,1.705,0.261
112104,13,0.1,0.13,0,0.05,0.03,0,0.367,2.722,0.463
113100,13,0.69,0.81,0.56,0.75,0.4,0.14,1,1,0
113130,13,0.2,0.15,0.06,0.07,0.05,0.04,0.65,1.538,0.212
113180,13,0.28,0.24,0.22,0.31,0.14,0,1,1,0
114101,13,1,1,0.69,0.63,0.54,0,0.753,1.327,0.141
114103,13,0.4,0.37,0.27,0.43,0.15,0.04,0.963,1.039,0.019
117101,16,0.49,0.4,0.31,0.37,0.27,0.06,0.949,1.054,0.026
117102,16,0.12,0.09,0.08,0.11,0.07,0.05,1,1,0
