hospital_id,hospital_name,te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_directional_crs,te_directional_vrs,te_directional_nirs,te_input_region_crs,te_input_region_vrs,te_input_region_nirs,te_output_region_crs,te_output_region_vrs,te_output_region_nirs,te_directional_region_crs,te_directional_region_vrs,te_directional_region_nirs,te_input_grd_crs,te_input_grd_vrs,te_input_grd_nirs,te_output_grd_crs,te_output_grd_vrs,te_output_grd_nirs,te_directional_grd_crs,te_directional_grd_vrs,te_directional_grd_nirs
101100,Hospital Doctor Juan Noé,0.662,0.686,0.686,1.511,1.301,1.301,0.204,0.16,0.16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.705,0.708,0.708,1.418,1.357,1.357,0.173,0.164,0.164
102100,Hospital de Iquique,0.542,0.584,0.584,1.846,1.391,1.391,0.297,0.202,0.202,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.559,0.581,0.581,1.788,1.47,1.47,0.283,0.226,0.226
103100,Hospital de Antofagasta,0.548,0.628,0.628,1.824,1.338,1.338,0.292,0.181,0.181,0.873,1.0,0.873,1.146,1.0,1.146,0.068,0.0,0.068,0.615,0.697,0.697,1.626,1.295,1.295,0.238,0.151,0.151
103101,Hospital de Calama,0.572,0.651,0.572,1.747,1.731,1.747,0.272,0.239,0.272,0.954,1.0,1.0,1.048,1.0,1.0,0.024,0.0,0.0,0.509,0.651,0.509,1.966,1.953,1.966,0.326,0.258,0.326
104100,Hospital de Copiapó,0.467,0.48,0.467,2.141,1.952,1.952,0.363,0.361,0.363,0.91,1.0,1.0,1.099,1.0,1.0,0.047,0.0,0.0,0.467,0.493,0.467,2.143,2.05,2.05,0.364,0.358,0.364
105100,Hospital de La Serena,0.771,0.772,0.771,1.296,1.266,1.266,0.129,0.128,0.128,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.842,0.842,0.842,1.187,1.182,1.182,0.086,0.086,0.086
105101,Hospital de Coquimbo,0.72,0.72,0.72,1.39,1.388,1.388,0.163,0.163,0.163,0.705,1.0,1.0,1.419,1.0,1.0,0.173,0.0,0.0,0.82,0.821,0.821,1.22,1.193,1.193,0.099,0.096,0.096
105102,Hospital de Ovalle,0.832,0.885,0.832,1.202,1.148,1.202,0.092,0.065,0.092,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.81,0.874,0.81,1.234,1.169,1.234,0.105,0.072,0.105
106100,Hospital Carlos Van Buren,0.683,0.917,0.917,1.465,1.061,1.061,0.189,0.036,0.036,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.913,1.0,1.0,1.095,1.0,1.0,0.045,0.0,0.0
106102,Hospital Dr. Eduardo Pereira Ramírez,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.653,1.0,1.0,1.532,1.0,1.0,0.21,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
