hospital_id,hospital_name,te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_directional_crs,te_directional_vrs,te_directional_nirs,te_input_region_crs,te_input_region_vrs,te_input_region_nirs,te_output_region_crs,te_output_region_vrs,te_output_region_nirs,te_directional_region_crs,te_directional_region_vrs,te_directional_region_nirs,te_input_grd_crs,te_input_grd_vrs,te_input_grd_nirs,te_output_grd_crs,te_output_grd_vrs,te_output_grd_nirs,te_directional_grd_crs,te_directional_grd_vrs,te_directional_grd_nirs
101100,Hospital Doctor Juan Noé,0.033,0.033,0.033,30.0,1.738,1.738,0.935,0.544,0.544,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.033,0.033,0.033,30.0,1.858,1.858,0.935,0.568,0.568
102100,Hospital de Iquique,0.034,0.034,0.034,29.0,1.446,1.446,0.933,0.355,0.355,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.034,0.034,0.034,29.0,1.511,1.511,0.933,0.37,0.37
103100,Hospital de Antofagasta,0.014,0.016,0.014,69.565,1.66,1.66,0.972,0.428,0.428,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.015,0.016,0.015,66.207,1.584,1.584,0.97,0.379,0.379
103101,Hospital de Calama,0.024,0.059,0.024,42.5,2.793,2.793,0.954,0.941,0.954,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.022,0.059,0.022,45.242,3.093,3.093,0.957,0.941,0.957
104100,Hospital de Copiapó,0.021,0.04,0.021,48.077,2.577,2.577,0.959,0.945,0.945,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.021,0.04,0.021,48.077,2.939,2.939,0.959,0.945,0.945
105100,Hospital de La Serena,0.016,0.029,0.016,60.714,2.383,2.383,0.968,0.907,0.907,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.016,0.029,0.016,60.714,2.382,2.382,0.968,0.907,0.907
105101,Hospital de Coquimbo,0.02,0.029,0.02,50.0,2.28,2.28,0.961,0.775,0.775,0.595,1.0,1.0,1.681,1.0,1.0,0.254,0.0,0.0,0.02,0.029,0.02,50.0,2.258,2.258,0.961,0.775,0.775
105102,Hospital de Ovalle,0.022,0.05,0.022,45.455,2.8,2.8,0.957,0.95,0.957,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.022,0.05,0.022,45.455,2.8,2.8,0.957,0.95,0.957
106100,Hospital Carlos Van Buren,0.015,0.024,0.015,65.625,2.138,2.138,0.97,0.764,0.764,0.897,1.0,0.897,1.115,1.0,1.115,0.054,0.0,0.054,0.017,0.024,0.017,60.261,2.031,2.031,0.967,0.64,0.64
106102,Hospital Dr. Eduardo Pereira Ramírez,0.027,0.1,0.027,36.923,3.997,3.997,0.947,0.9,0.947,0.694,1.0,1.0,1.441,1.0,1.0,0.181,0.0,0.0,0.027,0.1,0.027,36.923,3.997,3.997,0.947,0.9,0.947
106103,Hospital Claudio Vicuña,0.021,0.111,0.021,48.0,5.699,5.699,0.959,0.889,0.959,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.021,0.111,0.021,48.0,5.724,5.724,0.959,0.889,0.959
107100,Hospital Dr. Gustavo Fricke,0.017,0.018,0.017,58.333,1.728,1.728,0.966,0.481,0.481,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.018,0.036,0.036,55.44,1.542,1.542,0.965,0.347,0.347
107101,Hospital de Quillota,0.024,0.056,0.024,40.909,2.714,2.714,0.952,0.944,0.952,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.024,0.056,0.024,40.909,2.714,2.714,0.952,0.944,0.952
107102,Hospital de Quilpué,0.033,0.083,0.033,30.0,4.027,4.027,0.935,0.917,0.935,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.033,0.083,0.033,30.0,4.027,4.027,0.935,0.917,0.935
108100,Hospital San Camilo de San Felipe,0.043,0.083,0.043,23.077,2.584,2.584,0.917,0.917,0.917,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.043,0.083,0.043,23.077,2.584,2.584,0.917,0.917,0.917
108101,Hospital San Juan de Dios (Los Andes),0.044,0.091,0.044,22.917,2.734,2.734,0.916,0.909,0.916,0.497,0.529,0.497,2.013,1.944,1.944,0.336,0.332,0.332,0.044,0.091,0.044,22.917,2.734,2.734,0.916,0.909,0.916
109100,Hospital San José,0.052,1.0,1.0,19.333,1.0,1.0,0.902,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.052,1.0,1.0,19.333,1.0,1.0,0.902,0.0,0.0
109101,Hospital Roberto del Río,0.016,0.059,0.016,60.714,4.935,4.935,0.968,0.941,0.968,0.826,0.853,0.853,1.211,1.123,1.123,0.096,0.067,0.067,0.016,0.059,0.016,60.714,4.935,4.935,0.968,0.941,0.968
110100,Hospital San Juan de Dios (Santiago),0.03,1.0,1.0,33.778,1.0,1.0,0.942,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.03,1.0,1.0,33.778,1.0,1.0,0.942,0.0,0.0
110120,Hospital Félix Bulnes Cerda,0.026,0.026,0.026,38.0,1.665,1.665,0.949,0.475,0.475,0.691,0.77,0.77,1.448,1.217,1.217,0.183,0.113,0.113,0.026,0.026,0.026,38.0,1.691,1.691,0.949,0.464,0.464
110150,Hospital de Melipilla,0.089,0.111,0.089,11.25,2.458,2.458,0.837,0.752,0.752,0.771,0.928,0.928,1.297,1.063,1.063,0.129,0.035,0.035,0.089,0.111,0.089,11.25,2.458,2.458,0.837,0.752,0.752
111100,Hospital Clínico San Borja Arriarán,0.031,0.298,0.298,32.0,1.469,1.469,0.939,0.302,0.302,0.631,1.0,1.0,1.586,1.0,1.0,0.227,0.0,0.0,0.031,0.291,0.291,32.0,1.571,1.571,0.939,0.334,0.334
111101,Hospital El Carmen de Maipú,0.037,0.26,0.26,27.222,1.446,1.446,0.929,0.31,0.31,0.683,0.74,0.683,1.463,1.417,1.463,0.188,0.16,0.188,0.037,0.26,0.26,27.222,1.446,1.446,0.929,0.31,0.31
111195,Hospital de Urgencia Asistencia Pública,0.046,0.09,0.09,21.875,1.635,1.635,0.913,0.389,0.389,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.046,0.09,0.09,21.875,1.635,1.635,0.913,0.389,0.389
112100,Hospital Del Salvador de Santiago,0.022,0.023,0.022,44.792,1.755,1.755,0.956,0.476,0.476,0.457,0.598,0.457,2.19,2.003,2.19,0.373,0.288,0.373,0.022,0.023,0.022,44.792,1.729,1.729,0.956,0.476,0.476
112101,Hospital Santiago Oriente Luis Tisne,0.031,0.045,0.031,32.593,1.709,1.709,0.94,0.573,0.573,0.586,1.0,0.586,1.705,1.0,1.705,0.261,0.0,0.261,0.027,0.045,0.027,37.088,2.045,2.045,0.947,0.759,0.759
112102,Hospital Luis Calvo Mackena,0.013,0.038,0.013,78.0,3.838,3.838,0.975,0.962,0.975,0.367,1.0,0.367,2.722,1.0,2.722,0.463,0.0,0.463,0.013,0.038,0.013,78.0,3.782,3.782,0.975,0.962,0.975
